,Elev.m  ,LatAppx ,LongAppx,Slope.deg,AspClass,Asp.deg  ,PDIR,HeatLoad,Landform,TopoClass,DrainageClass,SoilSeriesName,SoilGroupName,AHoriz ,B1Horiz,B2Horiz,B3Horiz,BHoriz ,GrazCurr,GrazPast,NotLogged,Quga.gt60cm,LogQuga.gt60cm ,TreeHt.m ,SppRich ,ThilTypeCode,FlxB.0.25,Abgr.s,Abgr.t,Acar,Acgld.t,Acma.s,Acma.t,Acmi,Adbi,Agha,Agre,Agse,Agte,Aica,ALL,Alpr,Amal.s,Amal.t,Apan,Aqfo,Arel,Arme.s,Arme.t,Avfa,Beaq.s,Brco,Brla,Brpu,Brri,Brse,Brst,Brvu,Caqu,CAR,Cato,Cear,Ceum,Ceve.s,Cipa,Civu,Coco.s,Coco.t,Cogr,Conu.s,Conu.t,CORY.t,Cost,Crca,Crdo.s,Crdo.t,Crox.s,Cyec,Cyfo,Cygr,Daca,Dacar,Dagl,Deel,Diar,Doel,Drar,Elgl,Erla,Erog,Eucr,Feca,Fede,Feel,Feme,Feoc,Feru,Frbr,Frcu,Frla.s,Frla.t,Frvi,GAL,Gema,Geog,Gepu,Haob,Haun,Hehe.s,Heke,Hemi,Hodi.s,Hola,Hyoc,Hype,Hyra,Irte,JUNC,Kocr,Laco,Lapo,Lasa,Liap,Libu,Lico,Lide.s,Lide.t,LILI,Loci.s,Lope,LOT,Lotr,Lumu,Maex,MAL.s,MAL.t,Maor,Mebu,Mila,Mope,Mosi,Nepa,ONGR,Osce.s,Osce.t,Osnu,Phca.s,Phle.s,Phpr,Phvi.s,Pipo.s,Pipo.t,Plla,Poco,Pogl,Pogr,Pomu,Popr,Povu,Prav.s,Prav.t,Prde.s,Prde.t,Prvu,Psme.s,Psme.t,Ptan,Ptaq,Pyco.s,Pyco.t,Pyfu.s,Pyfu.t,Quga.s,Quga.t,Raoc,Rhdi.s,Rhpu.s,Rhpu.t,Risa.s,Rodu.s,Roeg.s,Rogy.s,Romi.s,Ronu.s,Ropi.s,Ruac,Rula.s,Rule.s,Rupa.s,Rupr.s,Ruur.s,Sacr,Sado,Sagr,Seja,Siho,Smra,Smse,Syal.s,Taas,Taof,Tegr,Thoc,Toar,Trca,TRIF,Trla,Trov,Trpr,V.1,Valo,Viam,Viel.s,Vinu,VIOL,Zice
Stand21,91,45.0080986,123.2232971,9,SE.or.NW,120,0.919131279,0.864835858,Slope,Sheltered.slope.N.or.E,Good,Steiwer,Sedimentary,18,19,38,0,57,No,No,Yes,10,1.04,21,29,Quga.PRU.Syal,1,0,0,0,0,15,3,0,0.5,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.200000003,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,18,0,0.200000003,47,18,0,0,0,0,0,0,0,0,0,0.200000003,0,0.5,241,0,16,0.5,0,0,0,0.5,3,0,0.5,0,0,0,0,0,0,10,0.5,0,0,0,0,0,0,34,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Stand22,121,45.0080986,123.2232971,1,N.or.E,90,0.908846855,0.905438662,Ridge,Ridges.NE,Well,Steiwer,Sedimentary,28,13,30,30,74,No,No,Yes,2,0.48,18.3,18,Quga.Amal.Syal,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0.200000003,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.5,150,0,16,0,0,0,2,6,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Stand23,106,45.0080986,123.2232971,7,SE.or.NW,160,0.945949733,0.913888156,Slope,Open.slope.N.or.E,Well,Steiwer,Sedimentary,24,0,28,0,28,No,No,No,0,0,9.4,51,Quga.Rhdi,23,0,0,0,0,0,0,0.5,0,5,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,1,0,0,0.5,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,21,0,0,0,0,2,0.5,0,0,0.5,0.200000003,0,0.5,0,8,0,0.5,0,0,0,0.5,0,0,0.200000003,0,0,0,0,0,0,2,0,0.5,0.200000003,2,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,4,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,11,128,0.5,24,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,3,0,0,0,0,9,0,0,0,0,0.5,0,0,6,0,0,0,0.200000003
Stand24,91,45.0080986,123.2232971,1,SE.or.NW,345,0.898064256,0.902555525,Slope,Open.slope.N.or.E,Well,Steiwer,Sedimentary,18,18,0,38,56,No,No,Yes,10,1.04,19.5,20,Quga.Amal.Syal,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.200000003,0.5,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.5,196,0,15,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Stand25,91,44.58300018,123.3013992,22,NE,35,0.675242364,0.645551682,Slope,Open.slope.N.or.E,Well,Steiwer,Sedimentary,5,10,33,0,43,No,No,Yes,0,0,11,32,Quga.Amal.Syal,5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,23,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.5,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.5,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0.200000003,0,3,0,0,0,0,0,0,0,0,3,0,0,4,0,0,0,0,0.5,5,0,0,2,0.5,0,0,1,173,0,25,0,0,0.5,0,0,4,0,0.5,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,3,16,0,0,0.5,0,0,0,0,0.5,0.200000003,0,0,0,0,0,0,0,0
Stand26,121,44.76250076,123.3049011,14,SE.or.NW,320,0.772536397,0.851906776,Draw,Sheltered.slope.N.or.E,Well,Steiwer,Sedimentary,10,18,15,157,191,No,No,Yes,8,0.95,15.2,36,Quga.Coco.Pomu,5,0,0,0,0,0.5,3,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.200000003,0.5,0,0.5,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,62,0,0.5,0,0,0,0,0,2,0.5,0,0,0,0,0,0,1,116,0,32,0,0.200000003,0,0,0,0.200000003,0,0,0,0,0,0,0,0,9,0.5,0.5,0,0,0,0,0,23,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand27,106,44.87810135,123.2640991,10,NE,60,0.84007293,0.802521348,Slope,Sheltered.slope.W.or.S,Well,Steiwer,Sedimentary,10,15,79,0,94,No,No,No,14,1.18,20.7,40,Quga.PRU.Syal,1,0,0,0,0,0.5,1,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,1,0,0,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.200000003,0,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.5,0,0,9,0.5,0.200000003,75,45,0,0,0,0,3,0,0,0,0,0,0,0.5,135,0,7,0.200000003,0,0,0,0.5,0.5,0,0,0.5,0,0,0,0,0,21,0.5,0.5,0,0,0,0,0,45,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0
Stand28,76,44.8492012,123.2845001,14,SE.or.NW,315,0.778540015,0.861209393,Slope,Open.slope.N.or.E,Good,Carlton,Sedimentary,33,28,56,51,135,No,No,Yes,17,1.26,21.6,26,Quga.Coco.Pomu,5,0.200000003,0,0.5,0,0.5,3,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,37,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,80,0,0.200000003,2,0,0,0,0,0.200000003,0,0,9,0,0,0,0,0,141,0,5,0,3,0,0,0,0,0,0,0,0,0,0,19,0,4,0.5,0,0,0,0,0,0,20,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0
Stand29,152,44.96469879,123.3049011,29,SE.or.NW,350,0.544294834,0.639844835,Draw,Open.slope.N.or.E,Well,Steiwer,Sedimentary,33,0,30,56,86,Yes,Yes,No,22,1.36,21.3,34,Quga.Coco.Pomu,5,0,0.200000003,0,0,0.200000003,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,0,7,0,0,0,0,0,0,0,0,46,0,0.200000003,0.5,0,0,0,0,6,13,0,0,0,0,0,0,0.200000003,158,0,11,2,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0.200000003,0,16,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
Stand30,198,44.8492012,123.3049011,2,NE,45,0.897216856,0.892982244,Slope,Sheltered.slope.N.or.E,Well,Carlton,Sedimentary,13,20,25,51,97,No,No,Yes,10,1.04,18.6,35,Quga.Coco.Pomu,1,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,0.200000003,0,0,0,0,0,0,0.200000003,0,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,4,0,0.5,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.200000003,0.5,0,0,0,0,0,0,0.5,262,0,22,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,39,0.5,0,0,0,0,0,0,65,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
Stand31,182,44.8492012,123.3049011,14,SE.or.NW,275,0.8510198,0.936359048,Slope,Open.slope.N.or.E,Well,Carlton,Sedimentary,30,0,33,132,165,No,No,Yes,10,1.04,20.7,32,Quga.Coco.Pomu,5,0,0,0,0,13,4,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,38,0,0.5,0.200000003,0,0,0,0,7,2,0,4,0,0,0,0,0,123,0,6,3,0,0,0,1,0.5,0,0.5,0.200000003,0,0,0,2,0,38,0,0.5,0,0,0,0,0,37,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand32,198,44.8492012,123.3049011,22,SE.or.NW,305,0.716564655,0.85049063,Slope,Open.slope.N.or.E,Well,Steiwer,Sedimentary,13,43,66,0,109,No,No,Yes,9,1,18.9,18,Quga.Coco.Pomu,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0.200000003,0.200000003,0,0,0,0,2,0,0,0.5,0,0,0,0,0,261,0,22,2,0,0,0,0.200000003,0.200000003,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,60,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand33,243,45.02249908,123.1621017,9,S.or.W,270,0.883207798,0.933803082,Ridge,Ridges.NE,Well,Steiwer,Sedimentary,9,0,28,46,74,Yes,Yes,No,6,0.85,14.3,46,Quga.Rhdi,1,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.200000003,0,0,0.5,0,0.5,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0.5,0.200000003,0,0,0,0,0.200000003,0.5,0,2,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,14,0.200000003,0.200000003,0,0,0,0,0.5,0,0,0,0,0.5,0,0,19,166,0,59,0,0,0,0,20,2,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,1,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0.200000003,2,0,0,0,0
Stand34,121,45.0080986,123.3253021,6,SE.or.NW,340,0.848351657,0.87323314,Slope,Open.slope.N.or.E,Well,Steiwer,Sedimentary,18,33,43,0,76,No,No,No,15,1.2,19.5,16,Quga.Amal.Syal,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.200000003,2,0,0,0,0,0,0,0,0,0,0,0,0,0.5,175,0,8,2,0,0,0,0,0,0,4,0,0,0,0,0,0.200000003,0.200000003,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand35,137,45.02249908,123.3049011,14,NE,35,0.763664126,0.744296968,Slope,Open.slope.N.or.E,Well,Steiwer,Sedimentary,15,0,104,51,155,Yes,Yes,Yes,4,0.7,14,38,Quga.Amal.Syal,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,10,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,6,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0,0.5,0,0,4,0.5,0.200000003,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,148,0,44,0.200000003,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0.200000003,0,0,0,0,0,0,55,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0
Stand36,182,44.97919846,123.2232971,2,S.or.W,180,0.920594633,0.91636008,Ridge,Ridges.NW.or.SE,Good,Steiwer,Sedimentary,36,0,15,0,15,Yes,Yes,No,10,1.04,13.4,49,Quga.Rhdi,23,0,0,0,0,0,0,0.5,0,0,0,0.5,8,0.5,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0.5,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.5,0,0,0,0.5,0,6,0,0,0,0,5,1,0,0,0,0,0,0,0,12,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0.200000003,0,0.200000003,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0.200000003,0,22,0.200000003,0.200000003,0,0,0,0,0,0,0,0,0,0.200000003,0,0,9,100,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0.5,0,0,2,0,0.5,0,0,0,0,0,0.5,0,0,0,0
Stand37,152,44.97919846,123.2436981,11,NE,55,0.818266332,0.779470384,Draw,Sheltered.slope.W.or.S,Well,Steiwer,Sedimentary,18,0,15,0,15,Yes,Yes,No,4,0.7,12.2,40,Quga.Coco.Pomu,1,0,0,0,0,0,0,0.5,0.5,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,7,0,0,11,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.200000003,0,0,0,0.5,0.5,0,0,0,0.200000003,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,37,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,13,0.5,0.5,3,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.5,118,0,25,1,0,0,0,2,3,0,0.5,0,0,0,0,0,0,22,0,0.5,0,0,0,0,0,16,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Stand38,228,44.87810135,123.3049011,11,SE.or.NW,330,0.791711748,0.848996222,Slope,Open.slope.N.or.E,Well,Steiwer,Sedimentary,15,0,15,130,145,No,Yes,No,11,1.08,15.8,33,Quga.Coco.Pomu,5,0,0,0,0,10,6,0,0.5,0.200000003,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0.200000003,0,0,0,0,0,0,0.200000003,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,81,0.5,0.200000003,0.200000003,0,0,0,0,3,7,0,2,0,0,0,0,0.200000003,182,0,18,7,0.5,0,0,0.5,0.200000003,0,0,0,0,0,0,0,0,13,0,0.5,0,0,0,0,0,2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stand39,182,44.87810135,123.3049011,3,SE.or.NW,315,0.881796122,0.902233362,Ridge,Ridges.NE,Well,Peavine,Sedimentary,23,15,41,51,107,No,Yes,No,14,1.18,15.8,41,Quga.Rhdi,1,0,0,0,0,0.200000003,0,0.200000003,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.200000003,0,0.200000003,2,0,0.200000003,0,0,0,0,0,0,2,10,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0.5,0.200000003,0.200000003,0,0,0,0,0,0,0,0.5,0,0,0,0,2,218,0,86,0.200000003,0,0,0,0.5,0,0,0,0,0,0,0,0,0,26,0.200000003,1,0,0.5,0,0,0,0.5,0,0.200000003,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,0,0,0,0
Stand40,304,44.49729919,122.9393005,27,N.or.E,90,0.792919338,0.640390158,Draw,Sheltered.slope.W.or.S,Well,Olympia,Basic.igneous,8,0,23,41,64,Yes,Yes,No,2,0.48,14.9,28,Quga.Coco.Pomu,5,0,0,0,0,0.5,18,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,58,0,0.200000003,2,0.5,0,0,0,0,0,0,0.200000003,0,0,0,0,0.5,205,0,9,0.200000003,0,0,0,0.200000003,0.200000003,0,0,0,0,0,0,9,0,0,0.200000003,0.5,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0
Stand41,182,44.51160049,122.9593964,10,SE.or.NW,135,0.941093445,0.884103715,Ridge,Ridges.NE,Moderate,Dixonville,Basic.igneous,3,15,36,0,51,Yes,Yes,No,0,0,6.7,38,Quga.Rhdi,23,0,0,0,0,0.200000003,0,0.5,0,0,0,0.200000003,2,0,0.5,0,0,0.5,0,0,0,0,0,0,0.200000003,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0.200000003,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0.5,0,0,0,0.200000003,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0.5,0,0,0,0,19,0.200000003,0,0,0,0,0,0.5,0,0,0,0,0.200000003,0.5,0,6,148,0,3,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.200000003,0,0.5,0.200000003,0,0,0,0,0,0.200000003,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
Stand42,152,44.42589951,122.979599,2,S.or.W,270,0.911663353,0.921886623,Slope,Sheltered.slope.N.or.E,Well,Dixonville,Basic.igneous,30,0,3,0,3,Yes,Yes,No,13,1.15,18.6,33,Quga.Coco.Pomu,5,0.5,0.5,0,0,14,3,0,0,0,0,0,0.200000003,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0.200000003,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,1,3,0,0,0,0,0.5,0,0.200000003,5,3,0,0,0,10,9,0.200000003,0,0,0,0,0,0.5,155,0,35,0.200000003,0,0,0,0.5,0,0,0,0,0,0,0,0,0,55,0,0.5,0,0,0,0,0,11,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0
Stand43,182,44.26480103,122.9940033,24,SW,200,0.996397257,0.989791691,Slope,Ridges.NE,Well,Dixonville,Basic.igneous,4,38,0,15,53,Yes,Yes,No,4,0.7,10.7,61,Quga.Rhdi,23,0,0,0,0,3,3,0.5,0,0,0,0,0.5,0,0.5,0,0.200000003,0,0,0,0,0.200000003,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0.200000003,0,0,0,0,0.200000003,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0,0.200000003,0,0,0.5,0.5,0,0,0.200000003,0,0,0,0,0.5,0,0,5,0.5,0.5,0,0.5,0,0,0,0.200000003,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,5,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.200000003,0,0.200000003,0.5,0.5,0,0,0.200000003,0,6,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,3,0,0,1,138,0,22,0.200000003,0,0,0,6,0,0,0.5,0.5,0,0.200000003,0,0,1,0,0,0.5,0,0,0,0,0,0.200000003,0,0,0,0,0.5,0,0,0,0,0.5,0,0,0.5,0,0,0,0
